"passive_id","name","desc_kr","desc_en","duration","on_icon_id","tooltip_str_id","is_good","class_type","back_active_skill_id","back_passive_id","grade"
"1","$19099","크래쉬","Crash","0","6184","0","true","warrior","-1","-1","NORMAL"
"2","$19100","퓨리","Fury","0","6171","0","true","warrior","-1","-1","NORMAL"
"3","$19101","슬레이어","Slayer","0","10650","8611","true","warrior","-1","-1","NORMAL"
"5","$19102","아머 가드","Armor Guard","0","6183","0","true","warrior","-1","-1","NORMAL"
"6","$19103","타이탄: 락","Titan Lock","0","10656","8606","true","warrior","-1","-1","NORMAL"
"7","$19104","타이탄: 블릿","Titan Blitz","0","10658","8608","true","warrior","-1","-1","NORMAL"
"8","$19105","타이탄: 매직","Titan Magic","0","10657","8607","true","warrior","-1","-1","NORMAL"
"10","$28224","카운터 배리어: 베테랑","Counter Barrier: Veteran","0","8850","0","true","knight","90","-1","NORMAL"
"11","$28232","아머 브레이크: 데스티니","Armor Break: Destiny","0","8847","0","false","darkelf","111","-1","NORMAL"
"12","$28231","더블 브레이크: 데스티니","Double Break: Destiny","0","8841","0","true","darkelf","104","-1","NORMAL"
"13","$28244","데스페라도: 앱솔루트","Desperado: Absolute","0","8842","0","false","warrior","229","-1","RARE"
"14","$28237","썬더 그랩: 브레이브","Thunder Grab: Brave","0","8846","0","false","dragonknight","191","-1","NORMAL"
"15","$28238","포우 슬레이어: 브레이브","Foe Slayer: Brave","0","8853","0","true","dragonknight","186","-1","NORMAL"
"16","$29486","아우라키아","Aurakia","0","9445","0","true","dragonknight","-1","-1","NORMAL"
"17","$29488","다크호스","Dark Horse","0","9442","0","true","illusionist","-1","-1","NORMAL"
"18","$2515","파이널 번","Final Burn","0","9489","0","true","darkelf","-1","-1","NORMAL"
"21","$10034","레지스트 엘리멘트","Resist Element","0","9496","0","true","elf","-1","-1","NORMAL"
"22","$30683","글로리 어스","Glory Earth","0","9605","0","true","elf","-1","-1","LEGEND"
"23","$30897","인피니티:아머","Infinity: Armor","0","9679","0","true","fencer","-1","-1","NORMAL"
"24","$30899","인피니티:블릿","Infinity: Blitz","0","9678","0","true","fencer","-1","-1","NORMAL"
"25","$30898","인피니티:닷지","Infinity: Dodge","0","9677","0","true","fencer","-1","-1","NORMAL"
"26","$30896","다마스커스","Damascus","0","9671","0","true","fencer","-1","-1","NORMAL"
"27","$30894","패러독스","Paradox","0","9682","0","true","fencer","-1","-1","NORMAL"
"28","$30901","그로우스","Growth","0","9670","0","true","fencer","-1","-1","NORMAL"
"29","$30895","레이지","Rage","0","9673","0","true","fencer","-1","-1","NORMAL"
"30","$30892","팬텀: 리퍼","Phantom: Reaper","0","9686","0","false","fencer","5001","-1","RARE"
